0> result: 0.09783759599457897, zero_values: 4391, total_cluster: 5026 | a1: 0 | Comp: 45792.30769230761, cont: 14897.671732419936, avg: 6.1469629844583515
1> result: 0.540521915033942, zero_values: 4389, total_cluster: 5005 | a1: 0 | Comp: 44180.769230769256, cont: 13807.287117035321, avg: 6.068627794951835
2> result: 0.6805310136178095, zero_values: 4388, total_cluster: 4995 | a1: 0 | Comp: 43376.9230769231, cont: 13212.094809343012, avg: 6.039004658174192
3> result: 0.749612696170828, zero_values: 4388, total_cluster: 4990 | a1: 0 | Comp: 42973.076923076944, cont: 12916.902501650704, avg: 6.023281447179607
4> result: 0.7926075775810522, zero_values: 4388, total_cluster: 4988 | a1: 0 | Comp: 42773.07692307695, cont: 12816.902501650704, avg: 6.005648440542552
5> result: 1.2881471489047434, zero_values: 2388, total_cluster: 2798 | a1: 0 | Comp: 28976.92307692304, cont: 10265.843556764163, avg: 6.68730504651854
6> result: 2.2494318786544047, zero_values: 1375, total_cluster: 1691 | a1: 0 | Comp: 22249.03846153844, cont: 9037.458941379544, avg: 7.812879668928974
7> result: 3.539725929283809, zero_values: 883, total_cluster: 1146 | a1: 0 | Comp: 18420.19230769228, cont: 8388.65124907185, avg: 8.753526229162677
8> result: 6.2208875493322875, zero_values: 563, total_cluster: 797 | a1: 0 | Comp: 16313.461538461517, cont: 8086.7281721487725, avg: 10.32212467542377
9> result: 6.071765519856124, zero_values: 563, total_cluster: 794 | a1: 0 | Comp: 16114.423076923058, cont: 8086.728172148772, avg: 10.11044698334293
10> result: 6.010957269173837, zero_values: 563, total_cluster: 793 | a1: 0 | Comp: 16015.384615384597, cont: 8086.728172148772, avg: 9.998305729175064
11> result: 5.639667212691629, zero_values: 562, total_cluster: 783 | a1: 0 | Comp: 15258.65384615383, cont: 7499.549930283791, avg: 9.909455831251647
12> result: 5.421864879447317, zero_values: 562, total_cluster: 778 | a1: 0 | Comp: 14838.461538461523, cont: 7202.512533489231, avg: 9.814844479398833
13> result: 5.345212583858354, zero_values: 562, total_cluster: 776 | a1: 0 | Comp: 14670.192307692292, cont: 7057.44211095402, avg: 9.810245098889526
