S7C1	S7C207059
S13C2	S13C27763
S14C3	S14C33528
S7C4	S7C3645
S7C4	S7C238861
S7C4	S7C211824
S7C4	S7C74969
S7C4	S7C32040
S7C4	S7C129555
S7C4	S7C240589
S7C4	S7C1774
S7C4	S7C300558
S7C4	S7C79747
S7C4	S7C169858
S7C4	S7C197625
S7C4	S7C193074
S7C4	S7C179249
S7C4	S7C193738
S7C4	S7C47601
S7C4	S7C42517
S7C4	S7C117861
S7C4	S7C234997
S7C4	S7C273786
S7C4	S7C142424
S7C4	S7C73154
S7C4	S7C93724
S7C4	S7C302852
S7C4	S7C63944
S7C4	S7C40422
S7C4	S7C326240
S7C4	S7C229877
S7C4	S7C117341
S7C4	S7C267795
S7C4	S7C157438
S7C4	S7C94031
S7C4	S7C28529
S7C4	S7C117755
S7C4	S7C84231
S7C4	S7C120999
S7C4	S7C178711
S7C4	S7C161193
S7C4	S7C60137
S7C4	S7C209393
S7C4	S7C233344
S7C4	S7C151416
S7C4	S7C160314
S7C4	S7C13065
S7C4	S7C313660
S7C4	S7C86023
S7C4	S7C111341
S7C4	S7C218134
S7C4	S7C307136
S7C4	S7C85002
S7C4	S7C321677
S7C4	S7C144735
S7C4	S7C86149
S7C4	S7C1437
S7C4	S7C120427
S7C4	S7C190414
S7C4	S7C161070
S7C4	S7C179683
S7C4	S7C245385
S7C4	S7C230315
S7C4	S7C40764
S7C4	S7C196276
S7C4	S7C305107
S7C4	S7C58891
S7C4	S7C151951
S7C4	S7C313266
S7C4	S7C200920
S7C4	S7C30061
S7C4	S7C132614
S7C4	S7C105592
S7C4	S7C36285
S7C4	S7C5321
S7C4	S7C169271
S7C4	S7C177631
S7C4	S7C268031
S7C4	S7C1754
S7C4	S7C127535
S7C4	S7C220902
S7C4	S7C124419
S7C4	S7C102376
S7C4	S7C126967
S7C4	S7C203687
S7C4	S7C317541
S7C4	S7C273760
S7C4	S7C62160
S7C4	S7C290342
S7C4	S7C81294
S7C4	S7C311545
S7C4	S7C29831
S7C4	S7C59473
S7C4	S7C305134
S7C4	S7C292556
S7C4	S7C192653
S7C4	S7C338410
S7C4	S7C216252
S7C4	S7C312404
S7C4	S7C325175
S7C4	S7C45476
S7C4	S7C335747
S7C4	S7C293560
S7C4	S7C287420
S7C4	S7C280840
S7C4	S7C202975
S7C4	S7C133251
S7C4	S7C193153
S7C4	S7C298190
S7C4	S7C309955
S7C4	S7C240191
S7C4	S7C170601
S7C4	S7C243053
S7C4	S7C66190
S7C4	S7C127691
S7C4	S7C22933
S7C4	S7C317605
S7C4	S7C65139
S7C4	S7C308686
S7C4	S7C267582
S7C4	S7C139035
S7C4	S7C11328
S7C4	S7C59392
S7C4	S7C193347
S7C4	S7C255226
S7C4	S7C145242
S7C4	S7C80470
S7C4	S7C4816
S7C4	S7C235457
S7C4	S7C240830
S7C4	S7C91955
S7C4	S7C256975
S7C4	S7C132405
S7C4	S7C25743
S7C4	S7C285278
S7C4	S7C285055
S7C4	S7C227109
S7C4	S7C113175
S7C4	S7C283832
S7C4	S7C164153
S7C4	S7C167997
S7C4	S7C195034
S7C4	S7C272174
S7C4	S7C261242
S7C4	S7C255908
S7C4	S7C61933
S7C4	S7C247385
S7C4	S7C57678
S7C4	S7C186463
S7C4	S7C342999
S7C4	S7C62361
S7C4	S7C110292
S7C4	S7C86936
S7C4	S7C292256
S7C4	S7C103561
S7C4	S7C233470
S7C4	S7C203434
S7C4	S7C339529
S7C4	S7C121506
S7C4	S7C321629
S7C4	S7C272978
S7C4	S7C95817
S7C4	S7C4710
S7C4	S7C208262
S7C4	S7C308426
S7C4	S7C73788
S7C4	S7C305998
S7C4	S7C184575
S7C4	S7C146749
S7C4	S7C305878
S7C4	S7C92045
S7C4	S7C59350
S7C4	S7C27742
S7C4	S7C23792
S7C4	S7C277274
S7C4	S7C246611
S7C4	S7C167388
S7C4	S7C65734
S7C4	S7C229326
S7C4	S7C203189
S7C4	S7C84176
S7C4	S7C186549
S7C4	S7C105426
S7C4	S7C94148
S7C4	S7C323417
S7C4	S7C63811
S7C4	S7C333013
S7C4	S7C267819
S7C4	S7C28841
S7C4	S7C245067
S7C4	S7C298567
S7C4	S7C96265
S7C4	S7C72504
S7C4	S7C251056
S7C4	S7C251752
S7C4	S7C185473
S7C4	S7C340765
S7C4	S7C225577
S7C4	S7C323086
S7C4	S7C195296
S7C4	S7C196712
S7C4	S7C313830
S7C4	S7C105489
S7C4	S7C137164
S7C4	S7C301328
S7C4	S7C22997
S7C4	S7C20476
S7C4	S7C243918
S7C4	S7C62003
S7C4	S7C339844
S7C4	S7C245473
S7C4	S7C88442
S7C4	S7C227675
S7C4	S7C202358
S7C4	S7C146239
S7C4	S7C27180
S7C4	S7C53664
S7C4	S7C331437
S7C4	S7C266602
S7C4	S7C49183
S16C5	S16C518081
S15C6	S15C132855
S15C6	S15C65822
S15C6	S15C242950
S15C6	S15C217243
S15C6	S15C136256
S15C6	S15C168510
S15C6	S15C165002
S15C6	S15C221985
S15C6	S15C163319
S15C6	S15C171722
S15C6	S15C166635
S15C6	S15C197709
S15C6	S15C194701
S15C6	S15C80026
S15C6	S15C41728
S15C6	S15C209531
S15C6	S15C92193
S15C6	S15C25212
S15C6	S15C81672
S15C6	S15C116662
S15C6	S15C88655
S15C6	S15C76732
S15C6	S15C168926
S15C6	S15C159090
S15C6	S15C91504
S15C6	S15C243373
S15C6	S15C11928
S15C6	S15C49124
S15C6	S15C174617
S15C6	S15C127565
S15C6	S15C73115
S15C6	S15C33273
S15C6	S15C56021
S15C6	S15C45270
S15C6	S15C2717
S15C6	S15C111687
S15C6	S15C42524
S15C6	S15C93554
S15C6	S15C30264
S15C6	S15C243822
S15C6	S15C98231
S15C6	S15C207666
S15C6	S15C46779
S15C6	S15C24342
S15C6	S15C50964
S15C6	S15C186037
S15C6	S15C190600
S15C6	S15C165511
S15C6	S15C34102
S15C6	S15C48461
S15C6	S15C220231
S15C6	S15C135744
S15C6	S15C20629
S15C6	S15C170263
S15C6	S15C111220
S15C6	S15C29454
S15C6	S15C35074
S15C6	S15C167
S15C6	S15C238031
S15C6	S15C208357
S15C6	S15C77529
S15C6	S15C25092
S15C6	S15C110247
S15C6	S15C64991
S15C6	S15C149923
S15C6	S15C28687
S15C6	S15C164943
S15C6	S15C190805
S15C6	S15C54300
S15C6	S15C129302
S15C6	S15C78401
S15C6	S15C131970
S15C6	S15C82464
S15C6	S15C207081
S15C6	S15C159922
S15C6	S15C64523
S15C6	S15C153648
S15C6	S15C8816
S15C6	S15C21491
S15C6	S15C189878
S15C6	S15C137253
S15C6	S15C172244
S15C6	S15C237381
S15C6	S15C147605
S15C6	S15C146844
S15C6	S15C52645
S15C6	S15C21915
S15C6	S15C83555
S15C6	S15C138809
S15C6	S15C222254
S15C6	S15C181193
S15C6	S15C195623
S15C6	S15C11068
S15C6	S15C69100
S15C6	S15C141420
S15C6	S15C212191
S15C6	S15C72990
S15C6	S15C156591
S15C6	S15C137679
S15C6	S15C97660
S15C6	S15C210571
S15C6	S15C78790
S15C6	S15C21715
S15C6	S15C22232
S15C6	S15C220698
S15C6	S15C68030
S15C6	S15C157282
S15C6	S15C135992
S15C6	S15C38379
S15C6	S15C191968
S15C6	S15C161957
S15C6	S15C4648
S15C6	S15C109615
S15C6	S15C103067
S15C6	S15C244931
S15C6	S15C110314
S15C6	S15C105986
S15C6	S15C236497
S15C6	S15C242238
S15C6	S15C150739
S15C6	S15C71802
S15C6	S15C71316
S15C6	S15C201689
S15C6	S15C127085
S15C6	S15C43051
S15C6	S15C86321
S15C6	S15C49637
S15C6	S15C177122
S15C6	S15C135976
S15C6	S15C226407
S15C6	S15C114452
S15C6	S15C28237
S15C6	S15C203023
S15C6	S15C130045
S15C6	S15C204894
S15C6	S15C183995
S15C6	S15C102878
S15C6	S15C93724
S15C6	S15C241177
S15C6	S15C156024
S15C6	S15C82697
S15C6	S15C30347
S15C6	S15C84708
S15C6	S15C44918
S15C6	S15C34237
S15C6	S15C228387
S15C6	S15C4422
S15C6	S15C121192
S15C6	S15C187669
S15C6	S15C97922
S15C6	S15C183314
S15C6	S15C119222
S15C6	S15C118395
S15C6	S15C134028
S15C6	S15C28561
S15C6	S15C119728
S15C6	S15C234472
S15C6	S15C55287
S15C6	S15C96642
S15C6	S15C29276
S15C6	S15C19024
S15C6	S15C96673
S15C6	S15C21046
S15C6	S15C176664
S15C6	S15C158113
S15C6	S15C134055
S15C6	S15C66315
S15C6	S15C105965
S15C6	S15C208580
S15C6	S15C242511
S15C6	S15C245026
S15C6	S15C8008
S15C6	S15C230908
S15C6	S15C233830
S15C6	S15C239276
S15C6	S15C6377
S15C6	S15C233727
S15C6	S15C106482
S15C6	S15C26288
S15C6	S15C59813
S15C6	S15C98571
S15C6	S15C49834
S15C6	S15C121291
S15C6	S15C208085
S15C6	S15C93743
S15C6	S15C163035
S15C6	S15C106364
S15C6	S15C148968
S15C6	S15C67206
S15C6	S15C22120
S15C6	S15C85758
S15C6	S15C42152
S15C6	S15C143833
S15C6	S15C84387
S15C6	S15C9356
S15C6	S15C12581
S15C6	S15C17127
S15C6	S15C50686
S15C6	S15C217326
S15C6	S15C149549
S15C6	S15C66408
S15C6	S15C56783
S15C6	S15C65158
S15C6	S15C106239
S15C6	S15C225825
S15C6	S15C44180
S15C6	S15C70151
S15C6	S15C80239
S15C6	S15C58078
S15C6	S15C125703
S15C6	S15C222012
S15C6	S15C208362
S15C6	S15C171707
S15C6	S15C73220
S15C6	S15C167349
S15C6	S15C148522
S15C6	S15C162022
S15C6	S15C218780
S15C6	S15C99331
S15C6	S15C213535
S15C6	S15C236905
S15C6	S15C44327
S15C6	S15C171176
S15C6	S15C178464
S15C6	S15C210384
S15C6	S15C65578
S15C6	S15C138597
S15C6	S15C236138
S15C6	S15C214281
S15C6	S15C197195
S15C6	S15C45141
S15C6	S15C68078
S15C6	S15C156449
S15C6	S15C61889
S15C6	S15C86368
S15C6	S15C129949
S15C6	S15C35969
S15C6	S15C212892
S15C6	S15C134613
S15C6	S15C230979
S15C6	S15C12518
S15C6	S15C49213
S15C6	S15C45336
S15C6	S15C227726
S15C6	S15C226216
S15C6	S15C90941
S15C6	S15C7633
S15C6	S15C222785
S15C6	S15C48060
S15C6	S15C244462
S15C6	S15C77474
S15C6	S15C78025
S15C6	S15C53253
S15C6	S15C150173
S15C6	S15C208813
S15C6	S15C162850
S15C6	S15C123746
S15C6	S15C2298
S15C6	S15C144735
S15C6	S15C136248
S15C6	S15C226492
S18C6	S18C29087
S18C6	S18C9932
S18C6	S18C53207
S18C6	S18C40923
S18C6	S18C51465
S18C6	S18C41400
S18C6	S18C58636
S18C6	S18C76146
S18C6	S18C43015
S18C6	S18C47077
S18C6	S18C8466
S18C6	S18C29089
S18C6	S18C28226
S18C6	S18C84879
S18C6	S18C39650
S18C6	S18C82237
S18C6	S18C32648
S18C6	S18C35494
S18C6	S18C67041
S18C6	S18C31516
S18C6	S18C22932
S18C6	S18C75282
S18C6	S18C16895
S18C6	S18C67663
S18C6	S18C46416
S18C6	S18C16703
S18C6	S18C34490
S18C6	S18C63965
S18C6	S18C77102
S18C6	S18C70246
S18C6	S18C37311
S18C6	S18C84492
S18C6	S18C41167
S18C6	S18C79281
S18C6	S18C70857
S18C6	S18C3939
S18C6	S18C79684
S18C6	S18C78759
S18C6	S18C41694
S18C6	S18C61111
S18C6	S18C34311
S18C6	S18C40504
S18C6	S18C18550
S18C6	S18C521
S18C6	S18C13001
S18C6	S18C82502
S18C6	S18C50859
S18C6	S18C44630
S18C6	S18C83255
S18C6	S18C50564
S18C6	S18C80003
S18C6	S18C23279
S18C6	S18C24278
S18C6	S18C56610
S18C6	S18C19828
S18C6	S18C8716
S18C6	S18C47133
S18C6	S18C27219
S18C6	S18C21702
S18C6	S18C75846
S18C6	S18C75799
S18C6	S18C9291
S18C6	S18C36035
S18C6	S18C30701
S18C6	S18C39081
S18C6	S18C19147
S18C6	S18C11597
S18C6	S18C64780
S18C6	S18C30380
S18C6	S18C80894
S18C6	S18C43247
S18C6	S18C21136
S18C6	S18C10703
S18C6	S18C45905
S18C6	S18C8517
S18C6	S18C62469
S18C6	S18C6424
S18C6	S18C75239
S18C6	S18C10011
S18C6	S18C62267
S18C6	S18C60090
S18C6	S18C22852
S18C6	S18C36643
S18C6	S18C63536
S18C6	S18C54748
S18C6	S18C30271
S18C6	S18C54513
S18C6	S18C5372
S18C6	S18C80948
S18C6	S18C77622
S18C6	S18C15132
S18C6	S18C4065
S18C6	S18C43742
S18C6	S18C25817
S18C6	S18C24297
S18C6	S18C20855
S18C6	S18C83724
S18C6	S18C25127
S18C6	S18C84074
S18C6	S18C39023
S18C6	S18C12590
S18C6	S18C20069
S18C6	S18C63427
S18C6	S18C61801
S18C6	S18C65414
S18C6	S18C53734
S18C6	S18C17587
S18C6	S18C74185
S18C6	S18C38786
S18C6	S18C59939
S18C6	S18C45681
S18C6	S18C63146
S18C6	S18C2556
S18C6	S18C4925
S18C6	S18C3152
S18C6	S18C79897
S18C6	S18C55850
S18C6	S18C75469
S18C6	S18C28102
S18C6	S18C56324
S18C6	S18C13731
S18C6	S18C57870
S18C6	S18C2301
S18C6	S18C46125
S18C6	S18C78476
S18C6	S18C4244
S18C6	S18C38376
S18C6	S18C41658
S18C6	S18C44536
S18C6	S18C62395
S18C6	S18C31228
S18C6	S18C33357
S18C6	S18C6038
S18C6	S18C76840
S18C6	S18C64854
S18C6	S18C46825
S18C6	S18C36488
S18C6	S18C14423
S18C6	S18C52295
S18C6	S18C54197
S18C6	S18C36463
S18C6	S18C9438
